KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
groupDecoBlocks,Decoration Blocks & Skins,Dekorationsblöcke & Skins,Blocs décoratifs,Blocchi Decorativi,Bloques de decoración,Blocos Decorativos,Blocos Decorativos,Bloki dekoracyjne (grupa),Декоративные блоки,装飾ブロック,装饰方块组,裝飾方塊,장식 블록,Dekorasyon Blokları,Διακοσμητικά Μπλοκ,Decoratie blokken,Các khối trang trí
mnuRespawnHomeInfo,Respawn at your home base on {0}.\n[c][1eab11]This is a safe option for respawning.[-][/c],Auf deiner Heimatbasis auf {0} spawnen.\n[c][1eab11]Dies ist eine sichere respawn Option.[-][/c],Réapparaître dans votre base principale sur {0},Ricompari nella tua base su {0}.\n[c][1eab11]Luogo Sicuro.[-][/c],Regenérate en tu base hogar en {0}.\n[c][1eab11]Esto es un modo seguro de regenerarse.[-][\c],Reproduzir na sua base de operação em {0}.\n[c][1eab11]Esta é uma opção segura para a reprodução.[-][/c],Renascer na sua casa em {0}.\n[c][1eab11]Este é um local seguro para renascer.[-][/c],Odrodzenie się w swojej bazie na {0}.\n[c][1eab11]Jest to bezpieczna opcja odrodzenia.[-][/c],Возрождение на основной базе через {0}.\n[c][1eab11]Это безопасный вариант для возрождения.[-][/c],{0}にあなたの自宅でリ作成します。\n[c][1eab11]これは復活時の安全な手段です。.[-][/c],在你的基地{0}重生。\n[c][1eab11]这是个安全的重生选项。[-][/c],重生於你在{0}的主基地。\n[c][1eab11]這是安全的重生選擇。[-][/c],{0}에 대한 본거지에서 부활하십시오.\n[c][1eab11]이것은 부활에 대한 안전한 옵션입니다.[-][/c],{0} buradaki Ana Üssünüzde doğun.\n[c][1eab11]bu doğmanız için güvenli bir seçenektir.[-][/c],Επαναδημιουργία στη βάση σου στο {0}.\n[c][1eab11]Αυτή είναι μία ασφαλής επιλογή για επαναδημιουργία.[-][/c],Respawn op jouw thuisbasis op {0}. \ N [c] [1eab11] Dit is een veilige optie voor respawnen. [-] [/ c],Hồi sinh tại cơ sở nhà của bạn vào {0}. \ N [c] [1ables11] Đây là một tùy chọn an toàn để hồi sinh. [-] [/ c]
mnuRespawnHomeMoving,Your home base may not move,Deine Heimatbasis darf sich nicht bewegen,Votre base principale ne peut pas être déplacée,La tua base non può muoversi,Tu base hogar no se moverá,A base de operação não pode mexer-se,Sua casa talvez não se mova,Twoja baza nie może się ruszać,Ваша основная база не может двигаться,ホームには戻れません,你的基地不可移动,你的主基地無法移動,본거지가 움직이지 않을 수 있습니다.,Ana Üssünüz hareket etmeyebilir,Η βάση σου δεν μπορεί να μετακινηθεί,Jouw thuisbasis mag niet bewegen,Cơ sở nhà của bạn có thể không di chuyển
mnuRespawnHomeNoSpawnPoint,Your home base has no medic station,Deine Heimatbasis hat keine Medizinstation,Votre base principale n'a pas de Station médicale,La tua base non ha nessuna stazione medica,Tu base hogar no tiene estación médica,A base de operação não tem posto médico,Sua casa como base não tem uma Estação Médica,Twoja baza nie ma Stacji Medycznej,Ваша основная база не имеет медицинской станции,ホームにはメディカルステーションがありません,你的基地没有医疗站,你的主基地沒有醫療站,해당 본거지에 메딕 스테이션이 없습니다.,Ana Üssünüzde Sağlık Merkezi yok.,Η βάση σου δεν έχει Ιατρικό Σταθμό,Jouw thuisbasis heeft geen medisch station,Cơ sở nhà bạn không có trạm cứu thương
mnuRespawnHomeUndef,Cannot spawn on your home base,Kann nicht auf deiner Heimatbasis spawnen,Ne peut être généré sur votre base principale,Non puoi rigenerarti nella tua base,No puedes regenerarte en tu base hogar,Não pode produzir na base de operação,Não pode renascer na sua casa,Nie możesz odrodzić się w swojej bazie,Невозможно возродиться на вашей основной базе,ホームベースに作成することはできません,不能在你的基地重生,無法在主基地出生,본거지에 대해 스폰할 수 없습니다.,Ana Üssünüzde doğamazsınız,Δεν μπορεί να δημιουργηθεί στην βάση σου,Je kan niet spawnen op jouw thuisbasis,Không thể hồi sinh trên cơ sở nhà của bạn
mnuRespawnNotFound,Your home base was not found,Deine Heimatbasis wurde nicht gefunden,Votre base principale n'a pas été trouvée,Impossibile trovare la tua base,Tu base hogar no ha sido encontrada,A base de operação não foi encontrada,Sua casa não foi encontrada,Twoja baza nie została znaleziona,Ваша основная база не найдена,ホームベースは見つかりませんでした,无法找到你的基地,未找到你的主基地,본거지가 없습니다.,Ana Üssünüz bulunamadı,Η βάση σου δεν βρέθηκε,Jouw thuisbasis was niet gevonden,Cơ sở nhà của bạn không được tìm thấy
mnuRespawnWrongFaction,Your home base has the wrong faction,Deine Heimatbasis hat die falsche Fraktion,Votre base principale appartient à la mauvaise faction,La tua base ha la fazione sbagliata,Tu base hogar tiene la facción equivocada,A base de operação tem a fação errada,Sua casa como base esta na facção errada,Twoja baza ma niewłaściwy sojusz,Ваша основная база имеет неправильную фракцию,ホームベースに違う勢力が存在する,你的基地派系与你不符,你的主基地陣營錯誤,해당 본거지에 잘못된 진영이 있습니다.,Ana Üssünüzün Grubu yanlış,Η βάση σου έχει την λάθος φατρία,Jouw thuisbasis heeft de verkeerde faction,
mnuRespFreshStartTitle,Respawn on Starter Planet,Kehre zum Starter Planet zurück,Recommencer la partie à zéro,Nuovo Inizio,Empezar de cero,Começar de novo,Iniciar do Zero,Nowy początek,Бодрый старт,フレッシュスタート,新的出生点,嶄新開始,새로 시작,Taze Başlangıç,Καινούρια αρχή,Opnieuw beginnen,Khởi đầu mới
mnuRespHomeTitle,Home Base,Heimatbasis,Base principale,Base,Base Hogar,Base de Operação,Base como Casa,Baza,Основная база,ホームベース,基地,主基地,본거지,Ana Üss,Αρχική Βάση,Thuisbasis,Căn cứ
mnuRespLocalDesc,Respawn near your death location.\n[c][d23b18]WARNING: You might re-spawn in deadly environment again.[-][/c],In der Nähe deines Sterbeorts spawnen.\n[c][d23b18]WARNUNG: Du kannst in tödlicher Umgebung respawnen.[-][/c],Réapparaître près du point où vous avez été tué,Ricompari vicino al luogo dove sei morto.\n[c][d23b18]ATTENZIONE: Luogo Potenzialmente Pericoloso.[-][/c],Reaparecer cerca de tu localización de muerte.\n[c][d23b18]ADVERTENCIA: Es posible que te regeneres de nuevo en un ambiente mortífero.[-][/c],Reproduzir perto do local do óbito.\n[c][d23b18]AVISO: Pode reproduzir novamente em ambiente mortífero.[-][/c],Renascer próximo ao local da sua morte.\n[c][d23b18]ATENÇÃO: Você poderá renascer em um local perigoso novamente.[-][/c],Odrodzenie się w pobliżu miejsca śmierci.\n[c][d23b18]OSTRZEŻENIE: Możesz znaleźć się w śmiertelnie niebezpiecznym otoczeniu[-][/c],Возродиться рядом с местом вашей смерти.\n[c][d23b18]ПРЕДУПРЕЖДЕНИЕ: Вы можете снова появиться в опасной зоне.[-][/c],死亡したキャラクター付近で復活します \n[c][d23b18]WARNING:致命的な環境で再び生き返るかもしれない[-][/c],在你死亡的位置附近重生。\n[c][d23b18]警告:你可能再一次在处于危险环境中，很大可能被守尸。[-][/c],在死亡地點附近重生。\n[c][d23b18]警告：你可能會再度置身於危險環境中。[-][/c],사망 위치 근처에서 부활하십시오.\n[c][d23b18]경고: 치명적인 환경에서 부활할 수 있습니다.[-][/c],Öldüğünüz yerin yakınında doğun.\n[c][d23b18]UYARI: Tekrar ölümcül ortamda doğabilirsiniz.[-][/c],Δημιουργία κοντά στην τοποθεσία θανάτου.\n[c][d23b18]ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Μπορεί να επαναδημιουργηθείς σε θανατηφόρο περιβάλλον.[-][/c],Respawn dichtbij je sterflocatie. \ N [c] [d23b18] WAARSCHUWING: je kunt opnieuw opnieuw spawnen in een dodelijke omgeving. [-] [/ c],Hồi sinh gần vị trí bạn đã chết.\n[c][d23b18]CẢNH BÁO: Có thể bạn sẽ chết một lần nữa nếu hồi sinh ở đây.[-][/c]
